id,entity,type,louv_community_weighted
783,Gurdar Singh,POL,8841
784,the Swabhimani Shetkari Sanghatana,ORG,15549
785,Som Parkash,POL,4688
786,Hakate,PERSON,786
787,Ramesh Wankhede,PERSON,15549
788,Vinay Gowda,PERSON,1527
789,DIVAR,GPE,789
790,Perinaickenpalayam,GPE,215
791,Houses,ORG,4688
792,Amul Dairy,ORG,8841
793,the Agricultural Produce Market Committees,ORG,3644
794,Dudhamali village,GPE,15549
795,CTUs,ORG,4688
796,G Prasanna Kumar,PERSON,2763
797,Deori panchayat,GPE,10780
798,Rajmal Kajal,PERSON,19072
799,A S Shastri,PERSON,12381
800,Dinesh Maheshwari,DIR,1527
801,LAKHIMPUR KHERI/LUCKNOW,GPE,3644
802,SAF International,ORG,6266
803,Captain Amarinder Singh,POL,4688
804,D Banumathi,PERSON,215
805,Karamadai,GPE,215
806,Shantibhai Mavani,PERSON,12381
807,Ibrahimpur Masaai,GPE,3644
808,Khammam,GPE,18149
809,Chaudhary Devi Lal,POL,4688
810,Gedabadi,GPE,215
811,Naranpura,GPE,12381
812,Gardud block,GPE,3644
813,MahaMetro,ORG,15549
814,Rajinikanth,DIR,215
815,SHO (Khedapa) Kesharam,PERSON,8841
816,Bhupender Vedwala,PERSON,4688
817,Gajera,PERSON,15549
818,Chinna Rasalu,GPE,6619
819,Wayanad Coffee Growers,ORG,11194
820,Chadivayalpathi,GPE,215
821,G S Brar,PERSON,4688
822,STF,ORG,3644
823,Karangiya,PERSON,12381
824,Bhartiya Kishan Union,ORG,13467
825,Ippasi,GPE,215
826,Chamrajanagar,GPE,11194
827,Sunil Malusare,PERSON,4688
828,Kathakuruchi,GPE,215
829,Anil Baijal,IAS,4688
830,Balochistan,GPE,8841
831,Subhash Bhamre,PERSON,15549
832,Kuausmedia Entertainment,ORG,832
833,Satyajit Khachar,PERSON,12381
834,Dilip Buildcon,ORG,4229
835,Kishore Raje Nimbalkar,PERSON,15549
836,Yesurathnam,PERSON,6619
837,Perumanallur,GPE,215
838,Sanjay Seth,POL,10780
839,M Saravanan,PERSON,215
840,Taj Mohammed Nigamna,PERSON,1341
841,P K Raju,PERSON,1341
842,Nishank,ORG,3644
843,Kharicut,GPE,12381
844,BKU Lakhowal,PERSON,4688
845,World Trade Organisation,ORG,6266
846,SuMO,ORG,10780
847,Vijayanand Sharma,PERSON,15549
848,HUDCO,ORG,8841
849,C Thangavelu,PERSON,215
850,Rahuri,GPE,15549
851,Shankaranna Munavalli,PERSON,2763
852,Coimbatore,GPE,215
853,Karthika,GPE,6619
854,Mahesh Vadodaria,PERSON,12381
855,Sanjiv Vashisht,PERSON,4688
856,Sanyukta Kisan Morcha,ORG,4688
857,Birsa Agriculture University,ORG,10780
858,Gurdwara Nanakmatta Sahib,GPE,3644
859,Ravindra Ram,PERSON,10780
860,C K Saseendran,PERSON,215
861,Kotbhara,GPE,4688
862,Edapaddi K Palaniswami,PERSON,215
863,Diamond Harbour,GPE,1561
864,Sarabha,PERSON,4688
865,Kattalai,GPE,215
866,Ashish Rai,PERSON,3644
867,Ramesh Rathod,POL,12381
868,Hasmukh,GPE,12381
869,1076,ORG,10780
870,KP,GPE,15549
871,Suraj Naik Gaonkar,PERSON,3160
872,Arvind Narsikar,PERSON,4688
873,Anil Bhinda,PERSON,15549
874,Rameshwar,POL,15549
875,Uma Kalyani,PERSON,18149
876,Chamrajnagar,GPE,2763
877,Sanjay Kishan Kaul,PERSON,4688
878,Ashwin Brahmbhatt,PERSON,878
879,Atul Agnihotri,PERSON,2763
880,Moti Doongri,GPE,8841
881,Komatireddy Venkat Reddy,PERSON,18149
882,Jakhal,GPE,4688
883,Dahisar,GPE,15549
884,Rishikesh-Shmata VD Katra-Rishikesh Express,ORG,3644
885,Aindrita Ray,PERSON,18149
886,the Christian United Federation,ORG,4688
887,the Nashik,ORG,15549
888,Agriculture Produce Market Committee,ORG,15549
889,Federation,ORG,215
890,Sangita Bhuriya,PERSON,12381
891,Nashik District Central Cooperative Bank,ORG,15549
892,Prabal Pratap Singh,PERSON,3644
893,Shinor,GPE,12381
894,Naththu,PERSON,18149
895,Udaylal Anjana,PERSON,8841
896,Dipankar Datta,DIR,15549
897,Thiruvanaikoil,GPE,215
898,EoW,ORG,15549
899,Uppar Dam,GPE,215
900,Naresh Tikait,PERSON,4688
901,Reldi village,GPE,12381
902,Sarbhan village,GPE,12381
903,Kundan Podchalwar,PERSON,15549
904,Kailas Jadhav,PERSON,15549
905,Yechury,PERSON,15549
906,Pankaj,POL,937
907,Jagroop Kaur,PERSON,4688
908,Sarpamitra Nisarga Samvardhan Bahuuddeshiya Sanstha,ORG,15549
909,Arvind Sharma,DIR,4688
910,Amarnath Mishra,PERSON,3644
911,N Sunanda Rani,PERSON,18149
912,Sunil Vaigankar,PERSON,3160
913,Manchale village,GPE,11194
914,Mandalik,PERSON,15549
915,International Water Management Institute,ORG,3644
916,Harpreet Kaur,DIR,4688
917,Pullalacheruvu,GPE,6619
918,Orathanadu,GPE,215
919,Karumandapam,GPE,3644
920,Mantralaya,GPE,15549
921,Alla,PERSON,6619
922,Nirbhay Singh Dhudike,PERSON,4688
923,T K Ashok Kumar,PERSON,215
924,Rajasthan,GPE,8841
925,Kopamandvi,GPE,925
926,Wadem-Sanguem,GPE,3160
927,N Vijayalaxmi,DIR,10780
928,Farmers Producers ‘Associations,ORG,15549
929,Tiruvaur,GPE,215
930,Balka Suman,POL,18149
931,Kalariya,PERSON,12381
932,Hansel Vaz,PERSON,3160
933,Bakkhali Gangasagar Development Authority,ORG,1561
934,Chandra Shekhar Azad University,ORG,6266
935,Karnataka Industrial Areas Development Board,ORG,2763
936,Manish Grover,PERSON,4688
937,Mundh,GPE,937
938,Samyunkt Kisan Morcha,ORG,8841
939,Union agriculture ministry,ORG,4688
940,Tamil Nadu Agriculture University,ORG,215
941,Sukhbir Khalifa,PERSON,8841
942,the State Assembly,ORG,18149
943,Mohammed Basu Mia,PERSON,15549
944,Lodipur,GPE,10780
945,Bhupendra Patel,PERSON,12381
946,Muzzafar Ali,PERSON,15549
947,Adani Group’s,ORG,4688
948,the Maharashtra Rail Infrastructure Development Corporation Limited,ORG,15549
949,Vishal Bhardwaj 's,PERSON,6266
950,Kalgaon,GPE,4229
951,S S Kulam,GPE,215
952,Wanaparthy,GPE,18149
953,Amreek Singh,POL,3644
954,The Ryat Kranti Sanghatana,ORG,15549
955,Seekampatti village,GPE,215
956,Raju Jagtap,PERSON,15549
957,Ramniwas Singh,PERSON,4688
958,Rajaram Kushwah,PERSON,13467
959,Baka,PERSON,12381
960,Tallakulam,GPE,8841
961,ABVP,ORG,15549
962,Indian Army,ORG,4688
963,Bhikha Chaudhary,PERSON,12381
964,Manjrekar,PERSON,15549
965,Prabhat,PERSON,12381
966,Mukta Gupta,PERSON,4688
967,Nagose,PERSON,15549
968,Nana Barman,GPE,12381
969,Burari,GPE,4688
970,Assandh,GPE,4688
971,Regional Agricultural Research Center,ORG,6619
972,Sankar Lingala,PERSON,6619
973,Batule,PERSON,15549
974,Dhampur,GPE,3644
975,EE Haveri,ORG,6619
976,Kukatpally,GPE,18149
977,Gurpurab,GPE,4688
978,Goa State Infrastructure Development Corporation,ORG,3160
979,Nangunur,GPE,18149
980,Vivek Aggarwal,DIR,4688
981,Lad,PERSON,15549
982,Rajeev Sharma,DIR,4688
983,Mico Layout,GPE,2763
984,the Jannayak Janata Party,ORG,4688
985,Manji Sahib,GPE,4688
986,Bareilly,GPE,3644
987,PFA,ORG,3160
988,Praveen Bansal,DIR,4688
989,Ashok Gulati,DIR,1527
990,The Uss Sangarsh Samiti,ORG,3160
991,the Hindraj Agro Industries Farmer Producer Company,ORG,15549
992,D Jayamani,PERSON,215
993,Maharaju,PERSON,6619
994,GB Pant University of Agriculture and Technology,ORG,6266
995,Pradhan Mantri Kisan Urja Suraksha,ORG,995
996,Udayraj,PERSON,3644
997,Kargil,GPE,18149
998,Vivek Chorgade,PERSON,15549
999,Shariq Majeeed,PERSON,4688
1000,Prasath,PERSON,215
1001,Viraj Devang,PERSON,15549
1002,Khargal,GPE,3160
1003,BMRCL,ORG,2763
1004,MRDBS,ORG,15549
1005,Bharatiya Kisan Unions ’s,ORG,3644
1006,Garotha,GPE,3644
1007,Shoorveer,PERSON,3644
1008,Sennamalam village,GPE,215
1009,Sangeeta Bijlani,PERSON,2763
1010,The directorate of agriculture,ORG,3160
1011,NHS,ORG,1561
1012,the Goa Bagayatdar,ORG,3160
1013,Akbarpur,GPE,3644
1014,Sadabhau Khot,PERSON,15549
1015,Ramakrishnan,PERSON,215
1016,Jind d,GPE,4688
1017,Anjarvarthalai,GPE,215
1018,Mumbai Metropolitan Region Development Authority,ORG,15549
1019,Mahindra group,ORG,15549
1020,Sahakar Nagar,GPE,15549
1021,Puran Rajwar,PERSON,8841
1022,‘Pashu Mitra’,ORG,8841
1023,Balotara SDO,GPE,8841
1024,Prakash Viplav,PERSON,10780
1025,Rajvindar Singh Golden,PERSON,215
1026,Uddandarayunipalem village,GPE,6619
1027,T Madhavan,PERSON,215
1028,Sidhpura,GPE,3644
1029,World Wide Fund for Nature,ORG,3644
1030,Karthigai Pattam,GPE,215
1031,Shahjahanpur,GPE,8841
1032,Dharwad,GPE,2763
1033,Bhavjit Singh,PERSON,4688
1034,Basanth Nagar,GPE,18149
1035,Vijay Patil,PERSON,4229
1036,Maksood,PERSON,15549
1037,NSUI,ORG,8841
1038,Rajasheker,PERSON,18149
1039,IEG,ORG,8841
1040,Basavaraj Masto,PERSON,15549
1041,Perni Venkataramaiah,PERSON,6619
1042,Mansinh Patel,PERSON,12381
1043,Vangi village,GPE,15549
1044,Palakkad,GPE,11194
1045,Kandela village,GPE,4688
1046,West Singhbhum,GPE,10780
1047,Dalelpur village,GPE,10780
1048,Vizag,GPE,1341
1049,Niranjan Singh,POL,4688
1050,Valerie Vaz,PERSON,6266
1051,Mahila,DIR,10780
1052,Guledi village,GPE,8841
1053,Manoj Singh,POL,18149
1054,Vitthal Pote,PERSON,15549
1055,Sahya,PERSON,15549
1056,Gharuan village,GPE,4688
1057,D Sasikumar,PERSON,215
1058,Nanjundaswamy,PERSON,1341
1059,Shruti Sharma,PERSON,15549
1060,The Communist Party of India,ORG,215
1061,US Naitam,GPE,15549
1062,Bittu,POL,4688
1063,New Amritsar,GPE,4688
1064,Nagorao Kamble,PERSON,15549
1065,Bamikonda,GPE,2763
1066,Delhi Pradesh Congress Committee,ORG,4688
1067,Jind di,GPE,4688
1068,Yogi Aditya Nath,PERSON,3644
1069,James,POL,11194
1070,Braj,GPE,3644
1071,National Institute of High Security Animal Diseases,ORG,15549
1072,Gonde,GPE,15549
1073,Sevasi,GPE,12381
1074,Surbhi Dixit,PERSON,1074
1075,Guru Birajdar,PERSON,15549
1076,Bharat Punarnirman abhiyan,PERSON,6266
1077,Nitin Raut,PERSON,15549
1078,Ramanan,PERSON,215
1079,Kotbawadi,GPE,6619
1080,the Meenangadi Service Cooperative bank,ORG,11194
1081,KAU,ORG,11194
1082,KASS,ORG,15549
1083,Kangana Ranaut,PERSON,6266
1084,Garhi Bharal,GPE,1341
1085,Gurazal,GPE,6619
1086,Kartikeya,PERSON,3644
1087,Amit Kumar Anand,PERSON,3644
1088,the All India Farmers’ Protest Coordination Committee,ORG,215
1089,Ramesh Mittal,DIR,10780
1090,Jethakuba,GPE,12381
1091,Rottigoundanur,GPE,215
1092,Shivraj Singh Chauhan,DIR,8841
1093,Haridwar-Amritsar Express,ORG,3644
1094,Jassi Sangha,PERSON,4688
1095,Madhya Prades,GPE,8841
1096,KCR,ORG,18149
1097,St Joseph’s Institute of Management,ORG,15549
1098,Alvares,PERSON,15549
1099,Vivek Masaal,PERSON,15549
1100,Brijpal Singh,PERSON,3644
1101,Prithvipur,GPE,13467
1102,Bhartiya Kisan Union (,ORG,4688
1103,Pohre,PERSON,15549
1104,R Swamy,PERSON,6619
1105,New Malleshwara,GPE,2763
1106,Gehlot ha,PERSON,4688
1107,Nagaraj,PERSON,2763
1108,Bardoli,GPE,12381
1109,Chak Hakim,GPE,4688
1110,Amitesh Kumar,PERSON,15549
1111,Aruchamy,PERSON,215
1112,Vipin Kumar,DIR,3644
1113,Sanjay Madav,POL,1561
1114,Janu Mor,PERSON,15549
1115,Game,PERSON,15549
1116,Akavyala,GPE,13467
1117,Pooja More,PERSON,15549
1118,Oil Marketing Companies,ORG,1118
1119,Maragatham,POL,215
1120,MoEFCC,ORG,6266
1121,Kallanai,GPE,215
1122,Surajpur,GPE,3644
1123,Ajay Tomar,PERSON,3644
1124,Bharsakre,PERSON,1124
1125,David Jaimy,PERSON,3003
1126,Koyilvazhi,GPE,215
1127,Western Coalfields Limited,ORG,15549
1128,Ummukulu MA,ORG,3160
1129,Subhash Mane,PERSON,15549
1130,Nitin Khadse,PERSON,15549
1131,Shiromani Akali Dal,ORG,4688
1132,Bijendra Prasad Yadav,POL,4688
1133,Shashidhar Hegde,PERSON,3003
1134,Laxman Savadi,PERSON,2763
1135,Raja Dudhbale,PERSON,15549
1136,The India Biodiversity Awards,ORG,6266
1137,", RCP Singh",PERSON,10780
1138,Umiyadham,GPE,12381
1139,Majra khap,PERSON,4688
1140,Civil Lines,GPE,4688
1141,Baselios Marthoma Paulose II,PERSON,11194
1142,Water Harvest,ORG,6266
1143,a Kisan Ayog,ORG,4688
1144,Paravai,GPE,215
1145,Veligonda,GPE,6619
1146,Bhanauta,GPE,4688
1147,Abhijeet Singh,PERSON,19072
1148,Chakripuram,GPE,18149
1149,Jeeta Madkami,PERSON,18149
1150,R Gayathri,PERSON,3644
1151,Gour,PERSON,15549
1152,DKEKSC,ORG,4688
1153,Kamaraj,PERSON,215
1154,the UN Food and Agriculture Organisation,ORG,4688
1155,Vinayavathi,PERSON,2763
1156,Uttar Pradesh State Construction Corporation Limited,ORG,3644
1157,Maya,PERSON,15549
1158,Crime Branch,ORG,4688
1159,Hogade,PERSON,15549
1160,Phalodi,PERSON,8841
1161,Velusamy,PERSON,215
1162,Kona Sasidhar,PERSON,6619
1163,Desai,PERSON,3160
1164,P D Sherpa,PERSON,3644
1165,Small Bank,ORG,10780
1166,Bonthu Ayyappareddy,PERSON,6619
1167,Telangana Congress,ORG,18149
1168,The Forest College and Research Institute,ORG,215
1169,Gurjinder Singh Romana,PERSON,4688
1170,Prant,GPE,3644
1171,Vijayasai,PERSON,6619
1172,Jeewesh Kumar,DIR,10780
1173,Jockey,PERSON,2763
1174,Vidya Pratishthan's,GPE,3160
1175,Bhukhi village,GPE,12381
1176,BKP,ORG,8841
1177,Dara Singh,PERSON,1341
1178,CCB,ORG,3644
1179,Nedar Dharmarajan,PERSON,215
1180,Vinay Pratap Singh,PERSON,6619
1181,KCCI,ORG,6619
1182,MPCB,ORG,15549
1183,Mahesh Palawat,PERSON,215
1184,Kagawad,GPE,2763
1185,the department of horticulture,ORG,215
1186,Sauradih village,GPE,10780
1187,Hattupura village,GPE,8841
1188,Kisan Sangarsh Samnavaya Samiti,ORG,1188
1189,Ziltawadi,GPE,3160
1190,M K Ahuja,PERSON,4688
1191,Rabindranath Tagore,PERSON,1561
1192,Sonepat,GPE,4688
1193,Pipraich,GPE,3644
1194,Mahaveer Patekar,PERSON,15549
1195,Maina,GPE,3160
1196,Rudrapur DM,GPE,4688
1197,Mysuru,GPE,2763
1198,Velus,GPE,3160
1199,Pilibhit Tiger Reserve,ORG,3644
1200,Sardarshahar,GPE,3644
1201,Goenche Shetkar,PERSON,3160
1202,Sutaria,PERSON,12381
1203,National Democratic Alliance,ORG,4688
1204,Mauli Jagran,GPE,937
1205,Rajat,PERSON,6266
1206,Rajan Jawal,PERSON,3644
1207,Secunderabad Cantonment,GPE,18149
1208,Ughadewadi,GPE,15549
1209,Rakesh Fagoria,PERSON,15549
1210,Gandipet,GPE,18149
1211,Gangadhar,PERSON,18149
1212,Waghagad,GPE,15549
1213,The Kirti Kisan Union,ORG,4688
1214,Finance,ORG,18149
1215,Ravindra Apte,PERSON,15549
1216,Karnal SDM,ORG,4688
1217,Barmer Virendra Singh Solanki,PERSON,8841
1218,Gurrevula village,GPE,18149
1219,NDRI,ORG,937
1220,Manisha,PERSON,19072
1221,FPC,ORG,15549
1222,Rajbeer,PERSON,19072
1223,Reliance Infra,ORG,15549
1224,L Seenivasagan,PERSON,215
1225,C Martin,PERSON,215
1226,Srimathi Devi,PERSON,18149
1227,Triveniganj,GPE,10780
1228,Mohan Salape,PERSON,15549
1229,Mela Thiruppanthiruthi,GPE,215
1230,All-India Kisan Sabha,ORG,15549
1231,Ganesh Lokhande,PERSON,15549
1232,Dablana,GPE,8841
1233,Sainik School,ORG,3644
1234,Ahela,GPE,3644
1235,Arvind Kejriwal,POL,4688
1236,Anchetty,GPE,215
1237,Prem Singh Chandumajra,POL,4688
1238,Chandigarh-,GPE,4688
1239,Samsher Rathwa,PERSON,12381
1240,Gurudas,PERSON,2763
1241,Bank of Baroda,ORG,4229
1242,Kodhara,GPE,10780
1243,Padaliya,PERSON,12381
1244,Naveen Kumar,POL,3644
1245,Dharmendra Sharma,DIR,12381
1246,Samay Enterprise,ORG,12381
1247,Marathe,PERSON,15549
1248,TOI+ How,ORG,1248
1249,Sunhare,PERSON,3644
1250,Kadegaon,GPE,15549
1251,Ajay Gaude,PERSON,3160
1252,Khamani,PERSON,12381
1253,PAUTA,ORG,4688
1254,Berhampur,GPE,3644
1255,an Unorganised Sector Workers Welfare Board,ORG,6266
1256,Gurmail Singh,PERSON,8841
1257,Arakalavadi,GPE,2763
1258,B Prabhulu,PERSON,18149
1259,Pradhyuman,PERSON,2763
1260,State,ORG,215
1261,Raigad,GPE,15549
1262,Zilla Parishad,GPE,15549
1263,Bagru,GPE,8841
1264,Pradeep Karpe,PERSON,15549
1265,Supreme Court’s,ORG,1561
1266,Doraikkannu,PERSON,215
1267,Muthana,GPE,2763
1268,Bhimji Borsar,GPE,15549
1269,Hubballi,PERSON,2763
1270,Anup Chavan,PERSON,15549
1271,the Central C,ORG,8841
1272,INTUC,ORG,15549
1273,T Harish Rao,PERSON,18149
1274,Guru Nanak,PERSON,6266
1275,Mahesh Saini,PERSON,8841
1276,Hitendra Thakur,PERSON,15549
1277,Ministry of home affairs,ORG,215
1278,the Editors Guild of India,ORG,13467
1279,Nidesh,PERSON,6619
1280,Bavla,GPE,12381
1281,Titavi,GPE,20482
1282,Yogesh Chandra Yadav,PERSON,3644
1283,K Veerapandi,PERSON,215
1284,Gurjatan Singh Billu,PERSON,6266
1285,Purushottam Parmar,PERSON,8841
1286,Yogi ji,PERSON,4688
1287,Mayank Kumar,PERSON,8841
1288,Lal Bahadur Shastri’s,POL,4688
1289,Jagriti Vihar,GPE,937
1290,Pipariya village,GPE,12381
1291,Chintapalle,GPE,6619
1292,Rampur BKU,GPE,3644
1293,B Janardhan Reddy,PERSON,18149
1294,Hafed,ORG,4688
1295,Perni Nani,PERSON,6619
1296,Durgeshpur village,GPE,15549
1297,Kisan Sanamvaya Sangharsh Samiti,ORG,10780
1298,Kanta Nayak,PERSON,12381
1299,Hamir Odedara,PERSON,12381
1300,Agar kisan nahin,PERSON,4688
1301,Janpal Singh,POL,12332
1302,Sanj,PERSON,10780
1303,P K Joshi,PERSON,1527
1304,Bhavnagar,GPE,12381
1305,Gurpreet Kataria,PERSON,3644
1306,Vadakarapathy,GPE,11194
1307,Jija Mata Nagar,GPE,18149
1308,Rashid Hussein,PERSON,3644
1309,ST Somashekar,PERSON,2763
1310,Nandigama Government Hospital,ORG,2763
1311,Ganesh Nagar,GPE,18149
1312,K Gopalsamy,PERSON,215
1313,Chaudhary Ajit Singh,PERSON,3644
1314,Hatharas,PERSON,4688
1315,the Bureau of Outreach and Communication,ORG,10780
1316,Annadata,ORG,15549
1317,Dal Khalsa,ORG,4688
1318,Nithin,PERSON,3003
1319,Gaurav Sharma,POL,3644
1320,the Cotton Corporation of India,ORG,15549
1321,Arif Hafeez,PERSON,3644
1322,Aryan Khan,PERSON,15549
1323,Matane,GPE,15549
1324,R Krishanaraj,PERSON,1341
1325,Pillayarnatham village,GPE,215
1326,Bardez taluka,GPE,3160
1327,Soorajkund,GPE,10780
1328,Surmukh Singh Virk,PERSON,4688
1329,NCC Ltd,ORG,15549
1330,Google,ORG,15549
1331,Varinder Kumar,PERSON,937
1332,Parbatsar,GPE,8841
1333,Dinesh Kumar Dinkar,PERSON,215
1334,Marysville,GPE,6266
1335,Balasaheb Sawant Konkan Krishi Vidyapeeth,ORG,15549
1336,Bhelupur,GPE,13467
1337,Abdus Sattar,PERSON,10780
1338,G,GPE,8841
1339,Yuvraj Bhardwaj,PERSON,6266
1340,Pratik Patel,DIR,12381
1341,Kaithode,GPE,1341
1342,Bhuvaneshwari,PERSON,215
1343,Koyal,GPE,4688
1344,Timana village,GPE,12381
1345,Kalghatagi taluk,GPE,2763
1346,the Central Arid Zone Research Institute,ORG,6619
1347,Chamandeep Kaur,PERSON,6266
1348,Girish Mahajan,PERSON,15549
1349,Vaiyampatti,GPE,215
1350,Kethreddypally,GPE,18149
1351,Gandhi Nagar,GPE,3644
1352,Kurubur Shanthakumar,PERSON,2763
1353,Kalpana Struct-Con Pvt Ltd,ORG,15549
1354,Maisarkhana village,GPE,4688
1355,Kanu Kalsariya,PERSON,12381
1356,The Jawaharlal Nehru Technological University,ORG,18149
1357,Dhanegaon,GPE,18149
1358,Vantda,GPE,12381
1359,Nirmal Kutiya Karnal,ORG,4688
1360,Chandivali,GPE,15549
1361,Lakha,POL,4688
1362,KTR,ORG,18149
1363,Gurjatan,PERSON,6266
1364,Godrej Tyson Foods Ltd,ORG,15549
1365,Harishpal,PERSON,4688
1366,Dinesh Mohan,DIR,15549
1367,Surjit Singh Phool,PERSON,4688
1368,Dharmasagar village,GPE,18149
1369,Madikeri taluk,GPE,2763
1370,Jaswinder Thukral,PERSON,4688
1371,Nemra,GPE,8841
1372,SHD,ORG,15549
1373,Kuruskhetra,GPE,4688
1374,Purnia Kisan Sangharsh Samanvay Samiti,ORG,10780
1375,Supriya Sahu,PERSON,215
1376,Akshay Lakra,PERSON,15549
1377,Oxford University Press,ORG,83
1378,Soni,PERSON,15549
1379,TNPCB,ORG,215
1380,Medgha Patkar,POL,4688
1381,Hemalkasa,GPE,15549
1382,Dilip Kumar S,POL,10780
1383,Sriganganagar Kisan Samiti,ORG,10780
1384,Wazir Singh,POL,4688
1385,Gurjit Singh Aujla,PERSON,4688
1386,Binod Singh,POL,10780
1387,Islamabad Hindu Panchayat,ORG,8841
1388,Sri Vigneswara Farmers Producer Company Limited,ORG,6619
1389,Kailash Satpute,PERSON,15549
1390,Thudiyalur,GPE,215
1391,Prashant Sapkale,PERSON,10780
1392,P T John,PERSON,11194
1393,Budhni,GPE,13467
1394,Sundaram Chaube,PERSON,3644
1395,Raja Gopal Sunkara,PERSON,7662
1396,Lakkha Singh,POL,3644
1397,Bilsi,GPE,3644
1398,UPL,ORG,215
1399,Bhartiya Kisan Union’s,ORG,3644
1400,The Nagpur Municipal Corporation Contractors’ Welfare Association,ORG,15549
1401,Ramavathalai,GPE,215
1402,Kunal Mourya,PERSON,15549
1403,Abhay Singh Yadav,PERSON,4688
1404,Gadde Ramamohana Rao,PERSON,6619
1405,Raja Rajeswari Poultry Farm,ORG,215
1406,Jyothi Bettadapura Nagaraj,PERSON,2763
1407,K Annapurna,PERSON,1527
1408,N Anjamma,PERSON,8841
1409,Sidhbali Express,ORG,3644
1410,KMSC,ORG,4688
1411,Farm organisa,ORG,4688
1412,Malik,PERSON,4688
1413,the Discipline of Earth Sciences of IIT-Gandhinagar,ORG,12381
1414,Jal Board,ORG,4688
1415,Ankit Chamar,PERSON,12381
1416,Rajveer Lawaniya,PERSON,4688
1417,Birajdar,PERSON,15549
1418,Kadabagere Cross,GPE,2763
1419,K Rajendra,PERSON,2763
1420,Sailender,PERSON,18149
1421,Sonu,GPE,13467
1422,Shett,PERSON,15549
1423,M Jayaseelan,PERSON,215
1424,Dasada village,GPE,15549
1425,P Ulganatgan,GPE,1561
1426,Pagalavadi,GPE,215
1427,Thakur,PERSON,15549
1428,Sridevi Wagh,PERSON,832
1429,Itan Kalan,GPE,4688
1430,Mandi Samiti,GPE,3644
1431,Bhiloda,GPE,12381
1432,Indra,PERSON,10780
1433,Chola,PERSON,215
1434,Parag Tejura,PERSON,12381
1435,Vinay Rathod,PERSON,1561
1436,Gopalganj,GPE,10780
1437,Jorwal,PERSON,4688
1438,the Birsa Agriculture University,ORG,10780
1439,ReBirth Foundation,ORG,15549
1440,Gokhale Inst,ORG,15549
1441,Shivare,GPE,15549
1442,Khuiyan,GPE,4688
1443,Daulat Desai,PERSON,15549
1444,Bharti Kisan Union Mansa,ORG,4688
1445,Kutchi,GPE,4688
1446,A S Krishnamoorthy,PERSON,215
1447,Ajay Mistry,PERSON,15549
1448,Maske,PERSON,15549
1449,Masheval,GPE,3160
1450,Radha Kishan,PERSON,3644
1451,indica,ORG,4688
1452,Desheeya Karshaka,ORG,11194
1453,Indore Poultry Farmers Association,ORG,13467
1454,Chandalingi,GPE,6619
1455,Bilot,PERSON,8841
1456,Kuwait,GPE,6266
1457,Kishanpura,GPE,10780
1458,the Tower and Infrastructure Providers Association,ORG,4688
1459,TOIs,ORG,3160
1460,Rebello,PERSON,3160
1461,Jai Prakash Singh,POL,3644
1462,UP Pollution Control Board,ORG,9151
1463,Pravin Rao,PERSON,18149
1464,P C Gaddigoudar,POL,4688
1465,Gojoli,GPE,4229
1466,Udumalapet,GPE,215
1467,Kiran Gaikwad,PERSON,15549
1468,Badarpur,GPE,4688
1469,Santosh Jadhav,PERSON,15549
1470,Alapur,GPE,4688
1471,PCC,ORG,13467
1472,Raghunathan,DIR,215
1473,Pimplgaon Basawant,GPE,15549
1474,Kokri,PERSON,4688
1475,Ajitabh Sharma,DIR,8841
1476,Central Pollution Control Board’s,ORG,4688
1477,Vallabhbhai Patel,PERSON,4688
1478,Patna,GPE,10780
1479,Darsi,GPE,6619
1480,Bamu,ORG,15549
1481,the Karnataka State Rural Development Panchayat Raj University,ORG,2763
1482,Mayurbhanj,GPE,8841
1483,Jafar Aalam,DIR,3644
1484,Mathew,PERSON,215
1485,Thapar University,ORG,4688
1486,Bodana,PERSON,12381
1487,the Bengal Chamber of Commerce & Industry,ORG,1561
1488,NAGAPATTINAM,GPE,215
1489,UT,ORG,18149
1490,Rai Singh Nagar,GPE,4688
1491,Khandesh,GPE,15549
1492,Birla,PERSON,3160
1493,MS Ramachandra Rao,PERSON,18149
1494,Kanhe Phata,GPE,15549
1495,Pandit,PERSON,12381
1496,System of Air Quality and Weather Forecasting And Research,ORG,4688
1497,Axis Bank,ORG,1561
1498,Tulsidas Rathod,PERSON,4229
1499,Mordunga village,GPE,8841
1500,Sevli,GPE,15549
1501,Sursura,GPE,8841
1502,Gunde,PERSON,6266
1503,Panwan Teenu,PERSON,4688
1504,Container Corporation of India,ORG,15549
1505,Chaudhary Birender Singh,POL,4688
1506,Kalamna,GPE,15549
1507,Amrinder Singh,DIR,10780
1508,the Marxist Coordination Committee,ORG,10780
1509,Bhupinder,PERSON,3644
1510,Satyabhama,PERSON,15549
1511,Karwarikhurd village,GPE,10780
1512,Kavathe Mahankal,GPE,15549
1513,SK Singhal,PERSON,10780
1514,Vijayasundaram,PERSON,215
1515,Indian Trade Unions,ORG,215
1516,Subhash Sudha,PERSON,4688
1517,Gurnam Singh Chaduni,PERSON,4688
1518,Kapadwanj,GPE,12381
1519,Indira Hridayesh,PERSON,3644
1520,T Vinod Kumar,POL,18149
1521,Mukhtar,PERSON,10780
1522,Sam,PERSON,8841
1523,the Samyukta Shetkari Kamgar Morcha,ORG,15549
1524,Jagmandeep Singh,DIR,6266
